name,birth,died
John A. Macdonald,1815,1891
Alexander Mackenzie,1822,1892
John Abbott,1821,1893
John Thompson,1845,1894
Mackenzie Bowell,1823,1917
Charles Tupper,1821,1915
Wilfrid Laurier,1841,1919
Robert Borden,1854,1937
Arthur Meighen,1874,1960
William Lyon Mackenzie King,1874,1950
R. B. Bennett,1870,1947
Louis St. Laurent,1882,1973
John Diefenbaker,1895,1979
Lester B. Pearson,1897,1972
Pierre Trudeau,1919,2000
Joe Clark,1939,NA
John Turner,1929,2020
Brian Mulroney,1939,NA
Kim Campbell,1947,NA
Jean Chrétien,1934,NA
Paul Martin,1938,NA
Stephen Harper,1959,NA
Justin Trudeau,1971,NA
